keyword,product_id,url_produk
serum wajah,100631445747,https://www.tokopedia.com/skintificid/skintific-sunscreen-aqua-light-5x-ceramide-serum-matte-fit-bright-fit-light-serum-sunscreen-wajah-pria-wanita-oil-control-hydrating-brightening-anti-aging-tabir-surya-ringan-tidak-berminyak-cepat-meresap-waterproof-facial-1731721543930316366?extParam=ivf%3Dtrue%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,100840541562,https://www.tokopedia.com/usjuniorofficial/bebio-face-body-baby-serum-80g-pelembab-kulit-wajah-dan-badan-bayi-anak-dengan-8x-amino-acid-tidak-lengket-dan-aman-untuk-bayi-sensitif-mencerahkan-dan-meredakan-iritasi-1732038347308827970?extParam=ivf%3Dtrue%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,103230788575,https://www.tokopedia.com/wardah-official/wardah-crystal-secret-series-lengkap-milk-cleanser-micellar-cleansing-gel-foaming-cleanser-exfoliating-toner-pure-treatment-essence-serum-dark-spot-corrector-day-moisturizer-night-moisturizer-refreshing-day-gel-radiance-serum-mask-skincare-1730577759117870999-1735061270455224215?extParam=ivf%3Dfalse%26keyword%3Dserum+wajah%26src%3Dsearch%26whid%3D97508
serum wajah,102681621647,https://www.tokopedia.com/nuface/fyc-pilihan-dania-5in1-6in1-nuface-skincare-set-brightening-acne-prone-youthful-triple-c-serum-retinol-perawatan-wajah-facial-membersihkan-mencerahkan-wajah-kering-kusam-berjerawat-berminyak-aging-mengencangkan-memudarkan-kerutan-flek-hitam-1733559184116581933?extParam=ivf%3Dfalse%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,100071580732,https://www.tokopedia.com/hanasuiofficial/special-package-hanasui-double-expert-glow-better-set-4-pcs-power-bright-expert-serum-real-10-advance-niacinamide-mencerahkan-wajah-membantu-menenangkan-kulit-new-improved-formula-extract-1730616829300605955?extParam=ivf%3Dfalse%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,103123196876,https://www.tokopedia.com/skin-1004/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-spf50-pa-hyaluronic-kering-berjerawat-wajah-facial-1729591294822484772-1734739377163372324?extParam=ivf%3Dfalse%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,102984228018,https://www.tokopedia.com/glad2glowindo-443/glad2glow-dark-spot-set-2-in-1-bundle-2pcs-symwhite-377-serum-symwhite-377-moisturizer-anti-dark-spot-renew-skincare-memutihkan-dan-glowing-tone-cream-wajah-dark-spot-correcting-glow-serum-day-cream-skincare-memutihkan-dan-glowing-1734310312287634722?extParam=ivf%3Dtrue%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,100268462971,https://www.tokopedia.com/bioaquaofficialshop/bpom-bioaqua-niacinamide-essence-mencerahkan-wajah-glowing-brightening-serum-hexapeptide-tender-wrinkle-care-essence-natural-skin-moisturizing-and-acne-care-essence-untuk-jerawat-hyaluronic-acid-moist-hydrating-serum-essence-30ml-1729429842152294809?extParam=ivf%3Dfalse%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,102238073089,https://www.tokopedia.com/scarlettwhite/scarlett-revive-glow-elixir-red-exfo-intensive-peeling-solution-peeling-serum-eksfoliasi-wajah-mencerahkan-dan-halus-dalam-60-detik-15-aha-bha-pha-5-niacinamide-1732477889861879160?extParam=ivf%3Dfalse%26keyword%3Dserum+wajah%26src%3Dsearch
serum wajah,103184635385,https://www.tokopedia.com/youmakeups/upgraded-you-acneplus-spot-care-pro-serum-obat-totol-jerawat-obat-jerawat-obat-bekas-jerawat-acid-wajah-acne-spot-treatment-totol-wajah-berjerawat-24-jam-memudarkan-bat-jerawat-obat-bekas-jerawat-acid-wajah-acne-spot-1729599829628259049-1734946440898316009?extParam=ivf%3Dtrue%26keyword%3Dserum+wajah%26src%3Dsearch
